rikishi_id,shikona,highest_rank_name,debut_basho,last_basho,debut_year,last_year,career_wins,career_losses,career_absences,career_appearances,career_bashos,win_rate,win_rate_bucket,career_bashos_bucket,career_year_span,is_low_win_long_career
409,光彬 資倫,序二段,平成6年5月,平成12年1月,1994,2000.0,120,118,0,238,35,0.5042016806722689,0.50-0.54,24-35,6.0,False
410,旭萌天 智雄,三段目,平成6年3月,平成11年11月,1994,1999.0,95,85,51,178,34,0.5277777777777778,0.50-0.54,24-35,5.0,False
411,千代の龍 孝友,幕下,平成8年5月,平成11年7月,1996,1999.0,73,52,8,124,20,0.584,0.55-0.59,12-23,3.0,False
412,力東 隼人,三段目,平成3年5月,平成10年9月,1991,1998.0,145,156,7,301,45,0.48172757475083056,0.45-0.49,36-59,7.0,False
413,若昇龍 成一,三段目,昭和61年3月,平成15年3月,1986,2003.0,324,347,36,671,103,0.4828614008941878,0.45-0.49,90-119,17.0,False
414,旭隆岳 興一,幕下,平成7年3月,平成21年9月,1995,2009.0,301,278,30,575,88,0.5198618307426598,0.50-0.54,60-89,14.0,False
415,魁ノ華 宏光,三段目,昭和62年9月,平成10年5月,1987,1998.0,209,232,7,441,65,0.47392290249433106,0.45-0.49,60-89,11.0,False
416,小濱山 光雄,序二段,平成5年5月,平成12年1月,1993,2000.0,130,126,24,252,41,0.5078125,0.50-0.54,36-59,7.0,False
417,琴山田 政樹,三段目,平成4年3月,平成10年7月,1992,1998.0,128,131,7,259,39,0.4942084942084942,0.45-0.49,36-59,6.0,False
418,桜児山 時徳,三段目,平成元年3月,平成14年3月,1989,2002.0,253,286,7,539,79,0.46938775510204084,0.45-0.49,60-89,13.0,False
419,栃日高 秀二,三段目,平成8年3月,平成16年7月,1996,2004.0,168,130,52,297,51,0.5637583892617449,0.55-0.59,36-59,8.0,False
420,北勝翔 明伸,三段目,平成6年3月,平成18年9月,1994,2006.0,261,264,0,525,76,0.49714285714285716,0.45-0.49,60-89,12.0,False
421,峰桜 健士,三段目,昭和63年3月,平成23年9月,1988,2011.0,453,524,3,976,141,0.46366427840327534,0.45-0.49,>=120,23.0,False
422,白乃龍 尚隆,三段目,平成5年11月,平成25年5月,1993,2013.0,385,365,63,745,117,0.5133333333333333,0.50-0.54,90-119,20.0,False
423,邨中 一馬,三段目,平成8年1月,平成16年1月,1996,2004.0,133,124,58,256,47,0.5175097276264592,0.50-0.54,36-59,8.0,False
424,大東 登,三段目,平成4年1月,平成13年7月,1992,2001.0,179,185,28,364,58,0.49175824175824173,0.45-0.49,36-59,9.0,False
425,藤縄 隆,序二段,平成5年1月,平成16年11月,1993,2004.0,223,253,21,473,72,0.4684873949579832,0.45-0.49,60-89,11.0,False
426,泰陽 良一,三段目,平成5年3月,平成21年7月,1993,2009.0,329,350,7,679,99,0.4845360824742268,0.45-0.49,90-119,16.0,False
427,龍勝山 勝昭,三段目,平成2年3月,平成12年5月,1990,2000.0,197,216,14,413,62,0.47699757869249393,0.45-0.49,60-89,10.0,False
428,黄金富士 啓弘,幕下,平成元年3月,平成14年1月,1989,2002.0,253,223,64,475,78,0.5315126050420168,0.50-0.54,60-89,13.0,False
429,橋本山 克仁,三段目,平成7年3月,平成13年3月,1995,2001.0,88,87,28,175,30,0.5028571428571429,0.50-0.54,24-35,6.0,False
430,玉皇 力,幕下,平成9年3月,平成26年1月,1997,2014.0,351,335,14,686,101,0.5116618075801749,0.50-0.54,90-119,17.0,False
431,肥後乃島 敬享,三段目,平成5年1月,平成13年11月,1993,2001.0,181,179,11,359,54,0.5027777777777778,0.50-0.54,36-59,8.0,False
432,久保山 修稔,三段目,平成7年3月,平成10年9月,1995,1998.0,66,53,28,118,22,0.5546218487394958,0.55-0.59,12-23,3.0,False
433,戎浪 大誠,三段目,平成4年3月,平成13年5月,1992,2001.0,161,164,60,325,56,0.49538461538461537,0.45-0.49,36-59,9.0,False
