bashoId,fromRankLabel,toRankLabel,wins,losses,absences,juryoLowMakekoshi,juryoLowCollapse,makushitaUpper5FivePlus,promotionPressure,demotionPressure,promotionsToJuryo,demotionsToMakushita
196509,西幕下28枚目,西幕下12枚目,5,2,0,8,5,3,11,13,4,2
196601,西幕下15枚目,東幕下5枚目,6,1,0,11,6,3,14,17,4,3
196507,東幕下21枚目,東幕下12枚目,5,2,0,13,5,2,15,18,6,6
196511,東幕下15枚目,東幕下6枚目,5,2,0,13,6,3,14,19,2,2
196309,西幕下30枚目,西幕下20枚目,5,2,0,12,7,4,11,19,3,3
196311,西幕下20枚目,東幕下7枚目,5,2,0,13,4,1,11,17,4,2
196601,西幕下22枚目,西幕下14枚目,5,2,0,11,6,3,14,17,4,3
196207,西幕下4枚目,東幕下1枚目,6,1,0,15,5,5,13,20,4,4
196305,東幕下30枚目,西幕下17枚目,5,2,0,11,5,2,12,16,5,4
196309,東幕下20枚目,西幕下14枚目,5,2,0,12,7,4,11,19,3,3
196503,東幕下10枚目,東幕下1枚目,6,1,0,14,4,3,12,18,6,3
196601,西幕下6枚目,西幕下2枚目,6,1,0,11,6,3,14,17,4,3
196603,西幕下2枚目,西幕下1枚目,5,2,0,15,4,3,14,19,3,3
196607,西幕下10枚目,西幕下4枚目,5,2,0,8,2,2,14,10,2,1
196611,東幕下14枚目,西幕下4枚目,5,2,0,13,6,2,11,19,3,2
196707,西幕下9枚目,西幕下2枚目,5,2,0,4,2,2,11,6,3,2
196803,西幕下27枚目,西幕下16枚目,5,2,0,8,3,3,12,11,5,3
197005,東幕下7枚目,西幕下1枚目,5,2,0,5,1,2,11,6,3,1
196107,東幕下20枚目,東幕下14枚目,5,2,0,16,4,5,14,20,3,3
196301,西幕下25枚目,西幕下14枚目,6,1,0,13,3,4,11,16,2,2
196305,東幕下12枚目,東幕下4枚目,6,1,0,11,5,2,12,16,5,4
196309,西幕下29枚目,東幕下20枚目,5,2,0,12,7,4,11,19,3,3
196607,東幕下22枚目,西幕下12枚目,5,2,0,8,2,2,14,10,2,1
196011,西幕下27枚目,西幕下19枚目,5,2,0,10,4,3,12,14,3,3
196303,東幕下29枚目,西幕下11枚目,6,1,0,14,6,4,12,20,4,4
